FID,Key,SiteCode,Site,SiteLat,SiteLong,Country,Ecoregion,Realm,SurveyID,Depth,SurveyDate,Category,CategoryDescription,MajorCategory,NumPoints,TotalPoints,PercentCover,geom
M3_DATA.20033,20033,ETP83,Granito de Oro,7.59,-81.71,Panama,Nicoya,Tropical Eastern Pacific,507003525,6,2007-03-19T13:00:00Z,Ecr,Encrusting corals,Coral,,,19.7531,POINT (-81.71 7.59)
M3_DATA.20037,20037,ETP83,Granito de Oro,7.59,-81.71,Panama,Nicoya,Tropical Eastern Pacific,507003525,6,2007-03-19T13:00:00Z,Aherm,Ahermatypic corals,Coral,,,9.5062,POINT (-81.71 7.59)
M3_DATA.20038,20038,ETP83,Granito de Oro,7.59,-81.71,Panama,Nicoya,Tropical Eastern Pacific,507003525,6,2007-03-19T13:00:00Z,Bra,Other branching/erect corals (Live),Coral,,,0.7407,POINT (-81.71 7.59)
M3_DATA.20041,20041,ETP83,Granito de Oro,7.59,-81.71,Panama,Nicoya,Tropical Eastern Pacific,507003525,6,2007-03-19T13:00:00Z,Mas,Massive corals (Live),Coral,,,2.4691,POINT (-81.71 7.59)
M3_DATA.20042,20042,ETP11,Canal Afuerita,7.71,-81.64,Panama,Nicoya,Tropical Eastern Pacific,507003526,8,2007-03-19T13:00:00Z,Mas,Massive corals (Live),Coral,,,0.1235,POINT (-81.64 7.71)
M3_DATA.20058,20058,RED6,Big Gotta,23.41,35.93,Egypt,Northern and Central Red Sea,Western Indo-Pacific,20003010,6,2011-08-01T14:00:00Z,Mas,Massive corals (Live),Coral,23,100,23,POINT (35.93 23.41)
M3_DATA.20059,20059,RED6,Big Gotta,23.41,35.93,Egypt,Northern and Central Red Sea,Western Indo-Pacific,20003010,6,2011-08-01T14:00:00Z,Soft,Soft corals and gorgonians,Coral,27,100,27,POINT (35.93 23.41)
M3_DATA.20061,20061,RED6,Big Gotta,23.41,35.93,Egypt,Northern and Central Red Sea,Western Indo-Pacific,20003010,6,2011-08-01T14:00:00Z,Ecr,Encrusting corals,Coral,4,100,4,POINT (35.93 23.41)
M3_DATA.20064,20064,RED6,Big Gotta,23.41,35.93,Egypt,Northern and Central Red Sea,Western Indo-Pacific,20003010,6,2011-08-01T14:00:00Z,Bra,Other branching/erect corals (Live),Coral,11,100,11,POINT (35.93 23.41)
M3_DATA.20065,20065,RED8,Sataya,24.16,35.71,Egypt,Northern and Central Red Sea,Western Indo-Pacific,20003012,5,2011-08-01T14:00:00Z,Bra,Other branching/erect corals (Live),Coral,12,100,12,POINT (35.71 24.16)
M3_DATA.20066,20066,RED8,Sataya,24.16,35.71,Egypt,Northern and Central Red Sea,Western Indo-Pacific,20003012,5,2011-08-01T14:00:00Z,BrAc,Branching Acropora,Coral,3,100,3,POINT (35.71 24.16)
M3_DATA.20068,20068,RED8,Sataya,24.16,35.71,Egypt,Northern and Central Red Sea,Western Indo-Pacific,20003012,5,2011-08-01T14:00:00Z,Ecr,Encrusting corals,Coral,12,100,12,POINT (35.71 24.16)
M3_DATA.20070,20070,RED8,Sataya,24.16,35.71,Egypt,Northern and Central Red Sea,Western Indo-Pacific,20003012,5,2011-08-01T14:00:00Z,Soft,Soft corals and gorgonians,Coral,1,100,1,POINT (35.71 24.16)
M3_DATA.20071,20071,RED8,Sataya,24.16,35.71,Egypt,Northern and Central Red Sea,Western Indo-Pacific,20003012,5,2011-08-01T14:00:00Z,Mas,Massive corals (Live),Coral,14,100,14,POINT (35.71 24.16)
M3_DATA.20073,20073,RED8,Sataya,24.16,35.71,Egypt,Northern and Central Red Sea,Western Indo-Pacific,20003012,5,2011-08-01T14:00:00Z,Stony,Large-polyp stony corals,Coral,1,100,1,POINT (35.71 24.16)
M3_DATA.20100,20100,ETP76,Almohada N,7.82,-81.77,Panama,Nicoya,Tropical Eastern Pacific,507003534,6,2007-03-20T13:00:00Z,Ecr,Encrusting corals,Coral,,,21.7284,POINT (-81.77 7.82)
M3_DATA.20103,20103,ETP76,Almohada N,7.82,-81.77,Panama,Nicoya,Tropical Eastern Pacific,507003534,6,2007-03-20T13:00:00Z,Aherm,Ahermatypic corals,Coral,,,0.1235,POINT (-81.77 7.82)
M3_DATA.20104,20104,ETP76,Almohada N,7.82,-81.77,Panama,Nicoya,Tropical Eastern Pacific,507003534,6,2007-03-20T13:00:00Z,Soft,Soft corals and gorgonians,Coral,,,0.6173,POINT (-81.77 7.82)
M3_DATA.20110,20110,ETP76,Almohada N,7.82,-81.77,Panama,Nicoya,Tropical Eastern Pacific,507003534,6,2007-03-20T13:00:00Z,Mas,Massive corals (Live),Coral,,,1.8519,POINT (-81.77 7.82)
M3_DATA.20112,20112,ETP74,Sin Nombre NE,7.84,-81.75,Panama,Nicoya,Tropical Eastern Pacific,507003547,6,2007-03-21T13:00:00Z,Mas,Massive corals (Live),Coral,,,1.6049,POINT (-81.75 7.84)
M3_DATA.20120,20120,ETP74,Sin Nombre NE,7.84,-81.75,Panama,Nicoya,Tropical Eastern Pacific,507003547,6,2007-03-21T13:00:00Z,Aherm,Ahermatypic corals,Coral,,,0.1235,POINT (-81.75 7.84)
M3_DATA.20123,20123,ETP74,Sin Nombre NE,7.84,-81.75,Panama,Nicoya,Tropical Eastern Pacific,507003547,6,2007-03-21T13:00:00Z,Pocil,Pocillopora,Coral,,,13.2099,POINT (-81.75 7.84)
M3_DATA.20125,20125,ETP13,Uva NE,7.83,-81.76,Panama,Nicoya,Tropical Eastern Pacific,507003549,12,2007-03-21T13:00:00Z,Pocil,Pocillopora,Coral,,,9.7531,POINT (-81.76 7.83)
M3_DATA.20128,20128,ETP13,Uva NE,7.83,-81.76,Panama,Nicoya,Tropical Eastern Pacific,507003549,12,2007-03-21T13:00:00Z,Ecr,Encrusting corals,Coral,,,0.1235,POINT (-81.76 7.83)
M3_DATA.20132,20132,ETP11,Canal Afuerita,7.71,-81.64,Panama,Nicoya,Tropical Eastern Pacific,507003526,8,2007-03-19T13:00:00Z,Bra,Other branching/erect corals (Live),Coral,,,1.7284,POINT (-81.64 7.71)
M3_DATA.20133,20133,ETP11,Canal Afuerita,7.71,-81.64,Panama,Nicoya,Tropical Eastern Pacific,507003526,8,2007-03-19T13:00:00Z,Aherm,Ahermatypic corals,Coral,,,0.1235,POINT (-81.64 7.71)
M3_DATA.20137,20137,ETP11,Canal Afuerita,7.71,-81.64,Panama,Nicoya,Tropical Eastern Pacific,507003526,8,2007-03-19T13:00:00Z,Ecr,Encrusting corals,Coral,,,0.3704,POINT (-81.64 7.71)
M3_DATA.20138,20138,ETP11,Canal Afuerita,7.71,-81.64,Panama,Nicoya,Tropical Eastern Pacific,507003526,8,2007-03-19T13:00:00Z,Pocil,Pocillopora,Coral,,,4.4444,POINT (-81.64 7.71)
M3_DATA.20141,20141,ETP144,Brincanco SO,7.85,-81.8,Panama,Nicoya,Tropical Eastern Pacific,507003539,15,2007-03-20T13:00:00Z,Soft,Soft corals and gorgonians,Coral,,,3.5802,POINT (-81.8 7.85)
M3_DATA.20144,20144,ETP144,Brincanco SO,7.85,-81.8,Panama,Nicoya,Tropical Eastern Pacific,507003539,15,2007-03-20T13:00:00Z,Aherm,Ahermatypic corals,Coral,,,0.1235,POINT (-81.8 7.85)
M3_DATA.20145,20145,ETP144,Brincanco SO,7.85,-81.8,Panama,Nicoya,Tropical Eastern Pacific,507003539,15,2007-03-20T13:00:00Z,Bra,Other branching/erect corals (Live),Coral,,,0.8642,POINT (-81.8 7.85)
M3_DATA.20148,20148,ETP144,Brincanco SO,7.85,-81.8,Panama,Nicoya,Tropical Eastern Pacific,507003539,15,2007-03-20T13:00:00Z,Mas,Massive corals (Live),Coral,,,1.6049,POINT (-81.8 7.85)
M3_DATA.20149,20149,ETP72,Brincanco N,7.87,-81.79,Panama,Nicoya,Tropical Eastern Pacific,507003540,15,2007-03-20T13:00:00Z,Mas,Massive corals (Live),Coral,,,4.6914,POINT (-81.79 7.87)
M3_DATA.20155,20155,ETP72,Brincanco N,7.87,-81.79,Panama,Nicoya,Tropical Eastern Pacific,507003540,15,2007-03-20T13:00:00Z,Bra,Other branching/erect corals (Live),Coral,,,0.7407,POINT (-81.79 7.87)
M3_DATA.20156,20156,ETP72,Brincanco N,7.87,-81.79,Panama,Nicoya,Tropical Eastern Pacific,507003540,15,2007-03-20T13:00:00Z,Aherm,Ahermatypic corals,Coral,,,0.3704,POINT (-81.79 7.87)
M3_DATA.20157,20157,ETP72,Brincanco N,7.87,-81.79,Panama,Nicoya,Tropical Eastern Pacific,507003540,15,2007-03-20T13:00:00Z,Soft,Soft corals and gorgonians,Coral,,,0.1235,POINT (-81.79 7.87)
M3_DATA.20159,20159,ETP13,Uva NE,7.83,-81.76,Panama,Nicoya,Tropical Eastern Pacific,507003549,12,2007-03-21T13:00:00Z,Bra,Other branching/erect corals (Live),Coral,,,0.7407,POINT (-81.76 7.83)
M3_DATA.20166,20166,ETP13,Uva NE,7.83,-81.76,Panama,Nicoya,Tropical Eastern Pacific,507003549,12,2007-03-21T13:00:00Z,Mas,Massive corals (Live),Coral,,,4.8148,POINT (-81.76 7.83)
M3_DATA.20169,20169,ETP66,Secas O,7.98,-82.02,Panama,Nicoya,Tropical Eastern Pacific,507003550,12,2007-03-21T13:00:00Z,Mas,Massive corals (Live),Coral,,,4.0741,POINT (-82.02 7.98)
